ENG_NAME,year,ndvi_crop,rain_gs,drought_class,drought_pixel_rate,cropland_pct,county_id,post_2010,event_time,drought_treated,drought_post,high_agriculture,drought_post_high_agri,ndvi_baseline,high_ndvi,drought_post_high_ndvi,high_elevation,drought_post_high_elev,pop_density_2000,high_density,drought_post_high_density
Danzhai,2008,0.5644237275669315,1146.7570210197089,,,1.3763281930347002,10,0,-2,1,0,0,0,0.5484241762283024,0,0,0,0,159.9147121535181,0,0
Huangping,2008,0.5473595405155381,924.123758306861,,,1.1529161098511465,22,0,-2,0,0,0,0,0.5331299919251149,0,0,0,0,197.84172661870505,0,0
Jianhe,2008,0.5717020833333333,903.9121660869772,,,0.0114101617558225,27,0,-2,0,0,0,0,0.5425614583333334,0,0,0,0,98.03921568627452,0,0
Jinping,2008,0.5700956157340505,900.7789389920604,,,0.6768634021617014,28,0,-2,0,0,0,0,0.5588215797942088,0,0,0,0,131.49655604257984,0,0
Kaili,2008,0.56537512345679,1064.1012009399417,,,0.1295503872491013,30,0,-2,0,0,0,0,0.5500083109267275,0,0,0,0,329.24961715160794,1,0
Leishan,2008,0.0,1114.28031480354,,,0.0,32,0,-2,1,0,0,0,0.0,0,0,0,0,114.84823625922888,0,0
Liping,2008,0.5623311293728959,1073.0276601874746,,,0.0699572414605866,34,0,-2,0,0,0,0,0.5486270520983627,0,0,0,0,108.08376491781132,0,0
Majiang,2008,0.5793085106382978,1123.8854233160166,,,0.2342795368308867,38,0,-2,1,0,0,0,0.5583096631205673,0,0,0,0,174.85428809325563,0,0
Rongjiang,2008,0.5758433615819211,1106.1162785028764,,,0.1059165205740615,52,0,-2,1,0,0,0,0.5657995762711865,1,0,0,0,96.50180940892642,0,0
Sansui,2008,0.4767729166666666,821.0726351361413,,,0.024231712184275,54,0,-2,0,0,0,0,0.5029312499999999,0,0,0,0,193.05019305019303,0,0
Shibing,2008,0.5770592458677686,823.5726874321725,,,0.1800570020027731,55,0,-2,0,0,0,0,0.5526907024793388,0,0,0,0,97.15025906735752,0,0
Taijiang,2008,0.0,965.6514729813532,,,0.0,61,0,-2,0,0,0,0,0.0,0,0,0,0,132.66998341625208,0,0
Tianzhu,2008,0.5524278145695365,874.0780156630794,,,1.2004976853149187,62,0,-2,0,0,0,0,0.544185879490267,0,0,0,0,172.64879600181737,0,0
Zhenyuan,2008,0.5476916666666667,799.4408968281622,,,0.0132085821597119,84,0,-2,0,0,0,0,0.5126375,0,0,0,0,127.79552715654953,0,0
Duyun,2008,0.5557696802408947,1196.880515069195,,,0.7528896069997555,14,0,-2,1,0,0,0,0.5303353348150271,0,0,0,0,202.2867194371152,0,0
Dushan,2008,0.5205731578559293,1268.1035233104897,,,2.268073886546551,13,0,-2,1,0,0,0,0.5094219291331896,0,0,0,0,139.05930470347647,0,0
Fuquan,2008,0.5677973181402671,1055.0990271108535,,,1.9000415442423029,16,0,-2,1,0,0,0,0.5462666155513287,0,0,0,0,177.72511848341233,0,0
Guiding,2008,0.5752460022530956,1109.8922380579045,,,1.9846145338437,19,0,-2,1,0,0,0,0.5430811791514438,0,0,0,0,165.64417177914112,0,0
Huishui,2008,0.5411882759419228,1148.8464324641147,,,3.2161450122685062,25,0,-2,1,0,1,0,0.5055148811268686,0,0,0,0,165.9919028340081,0,0
Libo,2008,0.5813160203725386,1335.2566446841429,,,0.3420179137960863,33,0,-2,1,0,0,0,0.5719060132083291,1,0,0,0,67.34006734006734,0,0
Longli,2008,0.5804293944743522,1068.7781120972145,,,1.561627333953895,36,0,-2,1,0,0,0,0.5547468480049857,0,0,0,0,131.49243918474687,0,0
Luodian,2008,0.5487503837429073,1204.1305684942354,,,1.42830075791035,37,0,-2,1,0,0,0,0.5307700492502923,0,0,0,0,99.56853634251576,0,0
Pingtang,2008,0.5454561247241783,1219.4140339046037,,,1.3923893833101004,44,0,-2,1,0,0,0,0.5362436109471612,0,0,0,0,102.65486725663716,0,0
