ENG_NAME,year,ndvi_crop,rain_gs,drought_class,drought_pixel_rate,cropland_pct,county_id,post_2010,event_time,drought_treated,drought_post,high_agriculture,drought_post_high_agri,ndvi_baseline,high_ndvi,drought_post_high_ndvi,high_elevation,drought_post_high_elev,pop_density_2000,drought_post_high_density,net_migration,net_migration_per_1000,births,deaths,births_source,deaths_source,high_elev,high_density,urban_core,pop_density,agri_employ_ratio,agri_gdp_ratio,gdp_pc,income_rural,elev_mean,agri_machinery_power,rural_investment,CHN_NAME,high_pop_density,high_agri_employ_ratio,high_agri_gdp_ratio,high_gdp_pc,high_income_rural,high_elev_mean
Suiyang,2008,0.5617435971557683,788.6880849375326,,,0.499793049936647,60,0,-2,0,0,0,0,0.5427392643540669,0,0,0,0,190.95869056897897,0,,-4.24,6890.0,2650.0,real,real,0,0,False,206.5471551052221,0.5827460605251765,0.4517279803086748,4571.0,3729.0,1070.4712017211737,28.2,69550.0,绥阳县,0,1,1,0,0,1
Tongzi,2008,0.5861599051008304,740.3159377445415,,,0.4280443029668578,63,0,-2,0,0,0,0,0.5655951256335598,1,0,0,0,196.875,0,,4.56,8840.0,3400.0,real,real,0,0,False,212.367270455965,0.5047546847407862,0.2597870828074367,5489.0,3342.0,1106.5277369331918,28.0,262000.0,桐梓县,1,0,1,0,0,1
Wuchuangelaozumiaozu,2008,0.5577865625121929,795.5652283505342,,,0.3173505550547649,68,0,-2,0,0,0,0,0.5624551943543592,1,0,0,0,147.85430941218897,0,,-3.52,5720.0,2200.0,real,real,0,0,False,158.44436442203818,0.6316443741272006,0.3985998614515613,3715.0,2222.0,971.7151781188848,17.7,72500.0,务川仡佬族苗族自治县,0,1,1,0,0,0
Xishui,2008,0.6005936461388074,750.4125485966881,,,0.1542982328473391,73,0,-2,0,0,0,0,0.5727101967253176,1,0,0,0,207.80051150895144,0,,4.56,8840.0,3400.0,real,real,0,0,False,217.3913043478261,0.5442903040871414,0.2486130992572586,6004.0,2446.0,1055.913004961386,29.4,199199.0,习水县,1,0,1,0,0,1
Yuqing,2008,0.5647422793966966,903.3829783524204,,,0.1213940636677859,80,0,-2,0,0,0,0,0.5535511393909587,0,0,0,0,172.5200246457178,0,,7.68,3770.0,1450.0,real,real,0,0,False,178.68145409735058,0.5648989389146869,0.3331673101967146,7302.0,4100.0,858.6839093305092,20.1,53270.0,余庆县,0,0,1,0,1,0
Zhengan,2008,0.5683482023578339,755.5406685270082,,,0.5374867708657205,82,0,-2,0,0,0,0,0.5777959473460957,1,0,0,0,219.65317919075144,0,,-4.96,8060.0,3100.0,real,real,0,1,False,238.92100192678228,0.4880143450358626,0.43955034170069,3465.0,2414.0,1010.2574987549216,18.3,13706.0,正安县,1,0,1,0,0,0
Honghuagang,2008,0.0,938.7842491113848,,,0.0,21,0,-2,0,0,0,0,0.0,0,0,0,0,193.3871383381025,0,,4.88,8320.0,3200.0,real,real,0,0,True,,,0.0407061648723888,23542.0,4494.0,951.67604126838,,325194.0,红花岗区,0,0,0,1,1,0
Bijiang,2008,0.5439173796791446,931.5759575949484,,,0.1752654670805311,2,0,-2,0,0,0,0,0.5371727829768272,0,0,0,0,231.17569352708057,0,,7.04,4810.0,1850.0,real,real,0,1,True,244.38573315719947,0.507919534011851,0.1785786530743738,12173.0,3348.0,480.0785600733912,9.5,131006.0,碧江区,1,0,0,1,0,0
Dejiang,2008,0.5360363145358302,805.8682200050774,,,0.282678600620447,12,0,-2,0,0,0,0,0.5511258566690383,0,0,0,0,217.1814671814672,0,,6.0,6500.0,2500.0,real,real,0,0,False,241.3127413127413,0.6376848321487949,0.4961916851793082,5283.0,2195.0,834.0340111867258,15.4,99530.0,德江县,1,1,1,0,0,0
Jiangkou,2008,0.0,844.6931930155329,,,0.0,26,0,-2,0,0,0,0,0.0,0,0,0,0,117.6470588235294,0,,-1.84,2990.0,1150.0,real,real,0,0,False,123.06046013911184,0.6333650518302696,0.4073967966910481,5240.0,2341.0,775.3314325950691,5.2,37279.0,江口县,0,1,1,0,0,0
