年份,省份,城市,区县,区县代码,行政区域土地面积_平方公里,乡及镇个数_个,乡个数_个,镇个数_个,街道办事处个数_个,村民委员会个数_个,年末总户数_户,乡村户数_户,年末总人口_万人,乡村人口_万人,户籍人口数_万人,年末单位从业人员_人,城镇单位在岗职工人数_人,乡村从业人员数_人,农林牧渔业从业人员数_人,年末第二产业单位从业人员_人,年末第三产业单位从业人员_人,农业机械总动力_万千瓦特,固定电话用户_户,移动电话用户数_户,宽带接入用户数_户,地区生产总值_万元,第一产业增加值_万元,第二产业增加值_万元,工业增加值_万元,第三产业增加值_万元,农业增加值_万元,牧业增加值_万元,人均地区生产总值_元/人,城镇单位在岗职工平均工资_元,城镇居民人均可支配收入_元,农村居民人均可支配收入_元,地方财政一般预算收入_万元,各项税收_万元,地方财政一般预算支出_万元,城乡居民储蓄存款余额_万元,年末金融机构各项贷款余额_万元,出口额_美元,实际利用外资金额_美元,农作物总播种面积_千公顷,常用耕地面积_公顷,机收面积_公顷,设施农业占地面积_公顷,农用机械总动力_千万瓦,粮食总产量_吨,棉花产量_吨,油料产量_吨,肉类总产量_吨,农林牧渔业总产值_万元,规模以上工业企业数_个,规模以上工业总产值_万元,城镇固定资产投资完成额_万元,全社会固定资产投资_万元,社会消费品零售总额_万元,房地产开发投资_亿元,普通小学学校数_个,普通中学学校数_个,普通小学专任教师数_人,普通中学专任教师数_人,普通小学在校生数_人,普通中学在校学生数_人,中等职业教育学校在校学生数_人,医院、卫生院床位数_床,医院和卫生院卫生人员数_卫生技术人员_人,医院和卫生院卫生人员数_执业医师_人,各种社会福利收养性单位数_个,各种社会福利收养性单位床位数_床,全社会用电量_万千瓦时,城乡居民生活用电量_万千瓦时,废气中氮氧化物排放量_吨,废气中烟尘排放量_吨,工业废气中二氧化硫排放量_吨,艺术表演场馆数_剧场、影剧院_个,公共图书馆总藏量_千册,体育场馆机构数_个
2016,贵州省,遵义市,湄潭县,520328,1845,,,12,3,,,,37,,50.71,,,267069,,58987,115976,,27000,,,901094,267997,231500,159900,401597,175903,69056,23710,,27331,11054,45067,31983,261074,934902,1097400,,,,,,857,,230694,,19024,28323,280036,87,817400,1080259,1080259,291282,,64,25,1956,,32143,31072,4636,1927,,,16,1546,,,,,,,,
2017,贵州省,遵义市,湄潭县,520328,1845,,,12,3,,,,37,,50.66,,,263904,,64256,120076,,16700,,,1046357,300162,273560,192600,472635,195044,78486,27424,,29536,12137,46365,33573,312284,1056100,1377500,,,,,7261,1043,,,,15688,,315828,91,,,,340217,,56,32,1873,,32525,28709,4709,2180,,,17,1546,,,,,,,,
2018,贵州省,遵义市,湄潭县,520328,1845,,,12,3,,,,37,,52.538,,,262571,,64485,123895,,18500,,,1101635,306135,289700,194400,505798,,,28792,,32047,13351,48000,,318500,1178000,1506900,,,,,,143,,,,18277,,323216,92,,,,,,55,31,1886,,32641,27454,,2135,,,18,2380,,,,,,,,
2019,贵州省,遵义市,湄潭县,520328,1866,,,12,3,,,,37,,51.406,,,261443,,69885,118751,,17545,,,1100504,321680,257600,204800,521224,,,28693,,34963,14726,47230,,309897,1302805,1800702,,,,,,54,,,,19924,,341401,87,,,,,,54,31,1950,,32283,29690,,2155,,,17,1033,,,,,,,,
2020,贵州省,遵义市,湄潭县,520328,1866,,,12,3,,,,37,,51.83,,,260400,,,,,16582,,,1180747,354500,261967,212200,564280,,,31651,,36676,15934,44592,,307120,1458088,2037554,,,,,,194,,,,21516,,375400,25,,,,,,51,30,1989,,31676,25713,,2559,,,19,2137,,,,,,,,
2021,贵州省,遵义市,湄潭县,520328,1866,,,12,3,,,,37,,52,,,260141,,,,,11425,,,1310381,381687,311248,270000,617446,,,35202,,39856,17495,46464,,299241,1641451,2229781,,,,,,197,,,,15435,,405000,32,,,,,,49,30,1989,,27468,25908,,3047,,,20,1631,,,,,,,,
2022,贵州省,遵义市,湄潭县,520328,1866,,,12,3,,,,37,,52,,,,,,,,39637,,,1344042,387396,319415,,637231,,,36154,,41769,18685,38989,,276962,1862522,2399360,,,,,,218,,,,16742,,413300,32,,,,,,46,28,2004,,26687,30782,,3244,,,14,1375,,,,,,,,
2023,贵州省,遵义市,湄潭县,520328,1866,,,12,3,,,,,,52,,,,,,,,27410,,,1402324,396000,317039,,689285,,,,,,,76425,,357774,2108200,2705733,,,,,,283,,,,18201,,,39,,,,,,,,,,30408,26074,,3507,,,10,716,,,,,,,,
2000,贵州省,遵义市,余庆县,520329,1623,10,,,,171,80811,68119,28,25,28,8863,,166542,120349,,,9,11333,,,79768,52432,14277,,13059,,,2797,,,2056,4062,,8367,27941,46316,,,,19210,,,9,164794,2,19376,23074,79600,2,1954,3143,,15500,,140,17,1162,,25708,13051,,312,,,1,8,,,,,,,,
2001,贵州省,遵义市,余庆县,520329,1623,10,,,,66,79783,68163,28,25,28,8242,,169747,120788,,,9,15164,,,87064,55284,16465,,15315,,,3030,,,2142,4228,,10921,32720,39569,,,,19180,,,9,164819,,20546,24727,81000,8,7821,5010,,17600,0.08,48,16,1167,,24921,15280,,373,,,5,32,,,,,,,,
2002,贵州省,遵义市,余庆县,520329,1623,10,,,,66,81189,69874,28,26.7,28.1,8327,8300,169954,118080,,,9.3,19692,,,106519,58484,29100,,18935,,,3652,9904,,2234,4659,,12621,41982,40522,,,,19160,,,9.3,169371,,19549,26905,86900,8,9404,61292,64088,19971,0.23,53,16,1164,,24590,17200,,428,,,4,32,,,,,,,,
2003,贵州省,遵义市,余庆县,520329,1623,9,,,,66,83056,70102,28,26,28,8752,15900,163913,109805,,,10,23887,,,122871,63545,38320,,21006,,,4199,10968,,2336,6086,,15249,52086,36553,,,,19162,,,10,177832,,20913,29860,81600,9,11174,101079,112769,22780,0.22,54,15,1071,,25292,17819,,306,,,5,52,,,,,,,,
2004,贵州省,遵义市,余庆县,520329,1630,10,,,,61,81549,73757,28,26,28,8579,15900,162200,105300,,,13,20989,,,134990,60054,51038,,23898,,,4583,12589,,2567,6882,,18478,67066,57510,,,,19162,,,13,185901,,21733,33843,96100,11,13578,101296,153133,26893,0.19,54,18,1096,,26233,18258,,314,,,6,60,,,,,,,,
2005,贵州省,遵义市,余庆县,520329,1623,10,,,,61,82991,68840,28,25,28,8995,16500,168606,104029,,,13,24114,,,147314,65601,30085,,51628,,,4997,16444,,2829,7813,,24106,83016,64137,,,,19162,,,13,190924,,22354,37412,103729,10,20864,14200,166673,48491,0.24,113,18,1051,,27472,18620,,348,,,6,100,,,,,,,,
2006,贵州省,遵义市,余庆县,520329,1623,10,,,,61,86091,71388,28,25,28,9399,15800,169091,103423,,,16,21425,,,158276,65535,34244,,58497,,,5323,17443,,2991,8938,,28922,98465,63341,,,,19162,,,16,191009,,23256,38510,105928,9,23956,13483,236977,56300,0.27,137,18,1100,,27599,19126,,461,,,8,100,,,,,,,,
2007,贵州省,遵义市,余庆县,520329,1623,10,,,,61,88203,78560,29,26,29,9209,9100,174714,99873,,,18,22623,,,188936,75495,43005,,70436,,,6327,21905,,3478,10758,,39765,120973,83794,,,,19162,,,18,200934,,23574,45400,127997,6,32562,16645,289360,69574,0.68,134,18,1174,,28140,18982,,475,,,8,100,,,,,,,,
2008,贵州省,遵义市,余庆县,520329,1623,10,,,,61,89301,79891,29,27.1,29.1,8624,8600,178308,100726,,,20.1,28999,,,218845,72912,54863,,91070,,,7302,26115,,4100,13019,,53462,163553,116397,,,,19160,,,20.1,201519,,18011,28465,123486,6,49920,53270,370321,84180,0.95,114,17,1246,,27437,20318,,559,,,8,81,,,,,,,,
2009,贵州省,遵义市,余庆县,520329,1623,10,,,,61,93572,81124,30,27,30,8925,8901,182133,102256,,,22,21101,,,235922,76139,55797,,103986,,,8970,28521,,4430,14748,,64633,179184,165026,,,,19162,,,22,199133,1,20414,30433,125798,7,70930,113058,274834,99542,0.29,113,17,1310,,27306,19955,,715,,,8,100,,,,,,,,
2010,贵州省,遵义市,余庆县,520329,1622,10,,,,61,97073,83465,30,26,30,9013,9000,173417,96208,,,23,28738,,,287604,85004,84723,52100,117877,,,12094,28111,,5012,17208,,71517,207152,201246,,,,19162,,,23,193266,,16271,31786,142800,7,15167,206661,264640,74069,0.14,106,17,1154,,26029,20885,,731,,,8,100,,,,,,,,
2011,贵州省,遵义市,余庆县,520329,1622,10,,,,61,99202,87867,30,28,30.3,9118,,173677,90624,,,20,32301,,,307537,80992,82302,52100,144243,,,13131,,,5268,21259,,97270,250744,229538,,,,19160,,,20,95635,,16920,26959,135900,6,23122,254658,,88890,,105,17,1151,,24469,21532,,770,,,8,100,,,,,,,,
2012,贵州省,遵义市,余庆县,520329,1622,10,,,,61,101847,89652,30,28,29.9,9417,,175376,85671,,,16,19173,,,365800,97847,100000,62900,168000,,,15636,,,6147,27648,,125144,307712,273734,,,,,,,16,149859,,17426,27962,164100,8,275457,414016,,103409,,102,16,1188,,23873,21957,,1031,,,8,135,,,,,,,,
2013,贵州省,遵义市,余庆县,520329,1622,19,10,9,,,,,30,,30.15,,,173700,,20823,92579,20,18497,,,445362,111400,136612,79900,197400,64608,35296,18945,,18033,6931,29743,22151,129779,399762,341996,,,,,4570,60,20,143088,,18474,30607,180900,18,351833,600963,600963,118958,,92,16,1186,,23205,21908,4855,1183,,,8,406,,,,,,,,
2014,贵州省,遵义市,余庆县,520329,1622,19,10,9,,,,,24,,30.39,,,178499,,16084,84765,26,17295,,,549160,138600,177260,102800,233300,86483,38213,23278,,20390,8061,34225,25214,146829,435251,446614,,,,,4742,56,26,166104,,18564,30740,231382,20,385702,797858,797858,142118,,81,15,1156,,23348,21164,5318,1214,,,5,630,,,,,,,,
2015,贵州省,遵义市,余庆县,520329,1622,10,1,9,,,,,24,,30.53,,,178857,,16894,86483,25,12412,,,644646,169969,206729,116400,267948,108270,44400,27223,,22511,8883,38711,28307,174911,505395,570844,,,,,4649,64,25,181429,,17478,30973,169969,24,482527,1023001,1023001,159877,,77,15,1080,,23247,20410,5207,1324,,,5,630,,,,,,,,
2016,贵州省,遵义市,余庆县,520329,1622,9,1,8,1,,,,23,,30.62,,,179557,,17865,87136,26,16455,,,749767,185463,241000,133900,323304,118412,51079,31503,,24492,9700,43973,31802,180047,583307,772745,,,,,5005,79,26,187331,,17032,28661,193279,30,529668,1005860,1005860,180709,,69,15,1173,,23431,19712,4397,1515,,,5,630,,,,,,,,
2017,贵州省,遵义市,余庆县,520329,1622,9,1,8,1,,,,23,,30.75,,,182076,,18516,108142,29,14680,,,808635,198392,239200,149000,371043,134419,52843,33841,,26721,10631,43073,26778,204369,655731,871682,,,,,5437,147,29,,,12195,,208859,32,,,,193540,,64,15,1227,,23464,19501,3335,1649,,,4,313,,,,,,,,
2018,贵州省,遵义市,余庆县,520329,1622,9,1,8,1,,,,23,,31.094,,,176557,,19068,111843,,14437,,,869663,203290,252792,149300,413581,,,36289,,29153,11683,42650,,220000,741392,1012054,,,,,,161,,,,10786,,214788,32,,,,,,63,15,1217,,23143,19188,,1742,,,4,313,,,,,,,,
2019,贵州省,遵义市,余庆县,520329,1622,9,1,8,1,,,,22,,30.982,,,167717,,19411,112975,,12316,,,768665,213613,196700,141900,358352,,,31968,,31835,12898,35554,,229774,820588,1141188,,,,,,164,,,,9082,,226871,27,,,,,,62,15,1228,,22517,18782,,1791,,,4,341,,,,,,,,
2020,贵州省,遵义市,余庆县,520329,1622,9,1,8,1,,,,22,,31.09,,,164600,,,,,16860,,,856402,258700,213002,154400,384700,,,38164,,33363,13943,36440,,220105,886295,1154633,,,,,,215,,,,5038,,272900,27,,,,,,62,15,1203,,21463,18435,,1798,,,31,1586,,,,,,,,
2021,贵州省,遵义市,余庆县,520329,1622,9,1,8,1,,,,22,,31.1,,,163621,,,,,15113,,,947196,277737,224600,173400,444859,,,42363,,36256,15297,26700,,212525,994849,1221629,,,,,,239,,,,5283,,293000,26,,,,,,61,15,1229,,20434,18076,,1792,,,31,1586,,,,,,,,
2022,贵州省,遵义市,余庆县,520329,1622,9,1,8,1,,,,22,,31,,,,,,,,15000,,,981410,305022,225494,,450894,,,43942,,37960,16313,23759,,179634,1123358,1338606,,,,,,168,,,,8271,,321900,30,,,,,,56,15,1242,,19533,18057,,1778,,,8,970,,,,,,,,
2023,贵州省,遵义市,余庆县,520329,1622,9,1,8,1,,,,,,31,,,,,,,,12000,,,1012180,298685,235900,,477595,,,,,,,27422,,205335,1270343,1454381,,,,,,167,,,,10211,,,30,,,,,,,,,,18935,17981,,1933,,,9,990,,,,,,,,
2000,贵州省,遵义市,习水县,520330,3128,23,,,,634,155727,138575,65,59,,18452,,290816,223675,,,12,13351,,,117456,53673,41396,,22387,,,1753,,,1288,5086,,14033,29941,115485,,,,41600,,,12,319349,7,5967,29758,79400,2,1654,9782,70998,18100,,356,32,2863,,107415,26166,,620,,,1,7,,,,,,,,
2001,贵州省,遵义市,习水县,520330,3128,23,,,,634,156310,140606,65,60,65,18869,,297538,217507,,,12,18484,,,124849,47628,50725,,26496,,,1848,,,1235,5213,,18646,37952,151832,,,,41530,,,12,237496,7,5079,30896,79200,9,17289,4386,87370,20400,,338,33,2766,,108110,29811,,578,,,1,7,,,,,,,,
2002,贵州省,遵义市,习水县,520330,3128,23,,,,497,161074,141008,66,59.8,66,18073,17900,300871,217592,,,12.3,25201,,,140970,54273,56542,,30155,,,2059,8937,,1290,5727,,24065,58072,164873,,,,40667,,,12.3,244224,26,4976,33483,84500,6,55988.5,13336,59732,23359,,334,38,2833,,102918,40161,,601,,,1,7,,,,,,,,
2003,贵州省,遵义市,习水县,520330,3128,22,,,,221,159900,142187,67,61,67,19274,19300,306743,201111,,,14,32999,,,157295,56291,66160,,34844,,,2286,9732,,1395,6822,,27273,71217,133818,,,,40772,,,14,257533,4,5166,38711,88300,11,105878,14613,28213,26385,0.04,272,38,2919,,93839,44203,,521,,,1,7,,,,,,,,
2004,贵州省,遵义市,习水县,520330,3128,23,,,,218,162742,143101,67,61,67,19263,,312800,198900,,,15,39901,,,178876,59883,80040,,38953,,,2575,11461,,1598,7537,,33600,87218,138551,,,,40709,,,15,278522,3,5408,43327,102700,14,156054,37508,53686,31211,0.05,267,53,3090,,84725,48774,,576,,,22,96,,,,,,,,
2005,贵州省,遵义市,习水县,520330,3128,23,,,,212,165055,144559,67,61,67,18119,19500,336535,205732,,,24,48718,,,238363,69115,85054,,84194,,,3400,13188,,1760,9043,,40644,115652,147175,,,,40671,,,24,286105,2,5502,49461,112489,10,230867,86124,85061,78034,0.1,245,51,2847,,75095,47402,,610,,,23,330,,,,,,,,
2006,贵州省,遵义市,习水县,520330,3128,23,,,,212,156719,144709,68,61,68,17751,42000,336535,205732,,,17,40100,,,263208,70797,95196,,97215,,,3744,19742,,1802,10670,,49312,143608,149571,,,,40651,,,17,257911,,5505,53726,114585,10,226264,102736,123257,90025,0.45,280,50,2670,,67492,45911,,471,,,23,335,,,,,,,,
2007,贵州省,遵义市,习水县,520330,3128,23,,,,210,169920,146077,68,61,68,18113,17570,339464,181285,,,28,37500,,,317659,83848,120098,,113713,,,4500,21577,,2126,13030,,65098,172478,159379,,,,40620,,,28,291257,4,5216,59000,145051,10,296255,164777,188295,116741,0.63,234,50,2560,,60817,51700,,707,,,23,335,,,,,,,,
2008,贵州省,遵义市,习水县,520330,3128,23,,,,210,170908,147269,68,61.7,68.5,19198,19227,334904,182285,,,29.4,58000,,,370250,92049,141693,,136508,,,6004,24524,,2446,10906,,91443,211760,120357,,,,40610,,,29.4,298661,,4723,51529,150204,11,353594.2,199199,223925,129705,1.4,230,48,2510,,58252,49829,,819,,,23,335,,,,,,,,
2009,贵州省,遵义市,习水县,520330,3128,23,,,,210,174340,149918,69,62,69,20559,20219,343298,177092,,,32,51000,,,452676,91056,184477,,177143,,,7325,27328,,2737,20994,,121642,247667,121284,,,,40598,,,32,297670,11,9311,55321,150184,12,386425,255971,236319,154634,0.89,228,47,2496,,58526,44135,,1298,,,23,335,,,,,,,,
2010,贵州省,遵义市,习水县,520330,3074,23,,,,210,177084,152908,71,65,71,19049,19000,356977,168547,,,32,56200,,,514992,101029,205580,164300,208383,,,9673,31264,,3206,29222,,141752,319744,161530,,,,40568,,,32,299270,2,6065,56800,168000,15,427879,435538,435538,110997,1.47,221,46,2628,,57839,29508,,1548,,,23,335,,,,,,,,
2011,贵州省,遵义市,习水县,520330,3128,23,,,,210,179818,155250,72,65.5,72.15,20798,,361477,161284,,,17,42800,,,619104,108958,257387,198600,252759,,,11897,,,3897,42380,,186524,389010,216178,,,,40630,,,17,166019,,7757,56754,180800,25,250609,669857,669857,133252,,218,42,2578,,55661,36271,,1974,,,23,336,,,,,,,,
2012,贵州省,遵义市,习水县,520330,3128,23,,,,210,180291,157693,72,65,71.79,23487,,366889,153230,,,18,40228,,,745300,133288,318784,240100,293200,,,14396,,,4572,60125,,236724,495278,275400,,,,,,,18,246402,,8480,59735,221400,48,647195,1133518,1076736,155265,,217,42,2722,,53751,37434,,2094,,,23,338,,,,,,,,
2013,贵州省,遵义市,习水县,520330,3128,23,9,14,,,,,72,,72.26,,,381900,,85550,142845,22,18500,,,910113,152700,410741,299100,346700,76013,68413,17580,,18324,5162,70125,50685,265315,606691,472467,,,,,2166,91,22,233600,1,9744,60514,246200,51,748885,1533794,1403007,180592,,203,43,2507,,52324,46721,6994,2842,,,23,1583,,,,,,,,
2014,贵州省,遵义市,习水县,520330,3128,23,9,14,,,,,52,,74.57,,,378726,,85531,145217,24,18400,,,1125510,206387,517943,364800,401200,107432,91341,21734,,20751,7082,78017,55255,327729,687153,604360,,,,,3231,95,24,254071,,10175,60085,374926,53,876175,1789752,1789752,214884,,87,33,2786,,51238,50146,7026,2842,,,25,1717,,,,,,,,
2015,贵州省,遵义市,习水县,520330,3128,23,9,14,,,,,52,,74.69,,,371521,,87262,148533,26,14000,,,1279457,275946,557423,393100,446088,161261,101278,24662,,22868,7082,76066,54307,374189,783815,852799,,,,,3173,110,26,261045,,10625,69711,275946,69,1018191,2226046,2226046,240983,,145,35,2984,,53006,49098,7128,2840,,,26,1700,,,,,,,,
2016,贵州省,遵义市,习水县,520330,3128,22,2,20,4,,,,56,,75.76,,,362817,,88929,156865,26,13800,,,1445850,289742,626800,447900,529308,175152,104306,27786,,24926,8577,74535,56585,397962,923481,1234711,,,,,3179,114,26,261916,,10871,70909,300644,72,1040719,2268057,2268057,273347,,144,34,3045,,55502,40629,4664,3020,,,26,1700,,,,,,,,
2017,贵州省,遵义市,习水县,520330,3128,22,2,20,4,,,,57,,76.73,,,362893,,93368,159165,27,13300,,,1712031,312684,789200,585100,610147,195385,105337,32810,,27344,9469,85502,70374,469580,1074012,1670314,,,,,3182,1941,27,,,9181,,325768,80,,,,319816,,147,34,2986,,59015,41459,4718,3217,,,26,1716,,,,,,,,
2018,贵州省,遵义市,习水县,520330,3128,22,2,20,4,,,,58,,78.717,,,345016,,102391,159563,,12800,,,1890800,319800,921500,680900,649467,,,36117,,29860,10492,104084,,496348,1194081,2076671,,,,,,799,,,,9185,,334443,68,,,,,,149,33,3184,,54441,42994,,3367,,,26,1716,,,,,,,,
2019,贵州省,遵义市,习水县,520330,3128,22,2,20,4,,,,58,,78.035,,,336475,,102421,165843,,13000,,,1867544,336044,809900,735000,721600,,,35537,,32816,11625,125600,,546500,1307508,2407400,,,,,,722,,,,9407,,353258,47,,,,,,147,32,3223,,64914,40354,,3440,,,27,1751,,,,,,,,
2020,贵州省,遵义市,习水县,520330,3128,22,2,20,4,,,,59,,78.76,,,328900,,,,,38358,,,2088468,392400,898938,815000,797130,,,35768,,34687,12683,146838,,547677,1486999,2715746,,,,,,725,,,,8949,,410800,48,,,,,,135,37,3101,,66144,41451,,3949,,,27,1817,,,,,,,,
2021,贵州省,遵义市,习水县,520330,3128,22,2,20,4,,,,58,,78.9,,,328244,,,,,13707,,,2384900,420000,1131500,1052200,833400,,,40797,,38010,14058,166176,,541143,1677452,3126176,,,,,,726,,,,9475,,440000,52,,,,,,126,32,3280,,66152,43111,,4498,,,21,1372,,,,,,,,
2022,贵州省,遵义市,习水县,520330,3074,22,2,20,4,,,,58,,79,,,,,,,,16300,,,2601587,453947,1306359,,841281,,,44554,,40214,15112,246494,,513393,1944364,3454813,,,,,,730,,,,13320,,474900,60,,,,,,112,40,3329,,65397,45295,,4498,,,13,1464,,,,,,,,
2023,贵州省,遵义市,习水县,520330,3074,22,2,20,4,,,,,,79,,,,,,,,11000,,,2697985,449866,1344483,,903636,,,,,,,278016,,673590,2210477,3840119,,,,,,67,,,,14201,,,66,,,,,,,,,,64268,47553,,4573,,,10,1217,,,,,,,,
2000,贵州省,遵义市,赤水市,520381,1801,14,,,,297,86217,60131,29,23,29,18887,,123000,88670,,,4,13000,,,115791,39036,60114,,16641,,,3807,,,1801,6881,,11299,75057,50147,,,,14990,,,4,130171,,1384,17476,59200,16,112411,20571,,17800,0.5,98,13,1397,694,25937,12599,,483,,,1,35,,,,,,,,
2001,贵州省,遵义市,赤水市,520381,1801,14,,,,297,87189,60112,29,23,29,19701,,123175,88423,,,4,13212,,,112181,41300,51516,,19365,,,3663,,,1884,6968,,14450,86166,47205,,,,13630,,,4,133608,,1198,19310,62500,16,99066,55000,,20500,0.67,101,14,1340,766,24917,13404,,485,,,1,35,,,,,,,,
2002,贵州省,遵义市,赤水市,520381,1801,14,,,,100,87170,60975,29,22.8,29.2,17717,17700,119769,76076,,,4.4,28477,,,137252,45114,68653,,23485,,,4440,10725,,1997,7050,,16438,93776,54837,,,,13627,,,4.4,137416,,887,21947,68400,22,111699,39733,68857,23574,1.1,97,19,1407,819,24494,13660,,638,,,14,285,,,,,,,,
2003,贵州省,遵义市,赤水市,520381,1801,14,,,,100,88790,62743,29,23,29,16280,18800,131925,81399,,,4,28544,,,135460,43659,62910,,28891,,,4354,11689,,2105,7378,,11901,110349,56007,,,,13624,,,4,142013,,1218,23525,70100,17,119430,61706,97253,28058,1.19,90,20,1412,894,24116,13120,,638,,,14,255,,,,,,,,
2004,贵州省,遵义市,赤水市,520381,1801,14,,,,100,91595,62923,30,23,30,19426,18800,132000,81300,,,5,24314,,,164505,50053,81693,,32759,,,5253,14455,,2312,8341,,22200,124928,54816,,,,13566,,,5,144911,,1177,25902,80600,18,139914,67602,127490,32991,0.96,88,20,1410,839,23736,10644,,528,664,,14,297,,,,,,,,
2005,贵州省,遵义市,赤水市,520381,1801,14,,,,100,91207,62749,30,22,30,21105,19200,131926,78310,,,9,37000,,,189257,55248,81478,,52531,,,6010,16156,,2512,9450,,27744,148060,65479,,,,13566,,,9,149925,,965,29422,89636,17,172106,73431,128588,38756,1.1,88,19,1415,850,23638,12977,,547,639,,14,255,,,,,,,,
2006,贵州省,遵义市,赤水市,520381,1801,14,,,,100,94537,63133,30,23,30,22910,18800,131926,78310,,,9,37500,,,204433,55278,91594,,57561,,,6471,16325,,2645,7979,,30348,174786,132917,,,,13566,,,9,124980,,1011,32502,89657,16,171494,118865,184125,45610,1.3,88,19,1338,836,23248,9270,,547,645,,14,216,,,,,,,,
2007,贵州省,遵义市,赤水市,520381,1801,14,,,,100,95044,62312,30,23,30,24604,21600,132426,76137,,,11,34633,,,244141,66823,106996,,70322,,,7704,19197,,3068,10007,,39476,186213,235067,,,,13570,,,11,149000,,637,35706,110060,18,201551,167023,211720,55501,1.59,86,20,1440,902,22410,9705,,677,800,,14,255,,,,,,,,
2008,贵州省,遵义市,赤水市,520381,1883,14,,,,100,95330,61737,30,22.2,30,22544,19200,135544,73173,,,11.1,43000,,,269227,50523,134162,,84542,,,8461,21502,9540,3600,12038,,58936,223536,335773,,,,13560,,,11.1,156742,,486,10298,84239,20,285606,154824,221199,67530,2.35,55,19,1467,905,21388,10297,,674,685,,16,350,,,,,,,,
2009,贵州省,遵义市,赤水市,520381,1883,14,,,,100,96752,62730,30,22,30,25539,22800,132962,74097,,,12,48530,,,286282,54606,123752,,107924,,,10983,23874,,3997,13800,,70952,258732,383895,,,,13566,,,12,147301,,471,11708,89730,23,373577,199056,201126,82361,2.48,57,18,1446,903,20583,14468,,680,700,,15,360,,,,,,,,
2010,贵州省,遵义市,赤水市,520381,1852,14,,,,100,98313,64263,31,23,31,24295,24500,134982,74073,,,12,57619,,,335597,62965,144017,123000,128615,,,14007,24756,,4569,18318,,86302,318436,353697,,,,13566,,,12,154709,,582,12353,104200,23,452704,302356,281407,109394,2.29,58,18,1457,951,19679,14939,,691,915,,14,345,,,,,,,,
2011,贵州省,遵义市,赤水市,520381,1852,14,,,,100,100250,65139,31,23.2,31.15,24290,,139032,76295,,,13,40453,196665,35186,412932,70630,185754,157000,156548,,,17372,,12589,5598,27168,,121549,384599,451495,,,,13730,,,13,111304,,684,13035,117600,21,657882,405533,,131360,8.71,57,19,1440,1135,18919,15174,,734,997,461,14,375,69523,37988,,,5132,1,130,1
2012,贵州省,遵义市,赤水市,520381,1852,14,,,,100,100421,67729,31,24,30.99,26794,,145558,75380,,,13,40713,236500,21062,494452,83411,224615,186000,186426,,,20716,,,6537,35966,,149400,480356,413693,,,,,,,13,120814,,755,13962,139200,32,494986,697023,697000,153111,6.02,57,19,1372,669,18698,10181,,904,845,462,16,1318,61643,12339,107,90,4816,1,130,1
2013,贵州省,遵义市,赤水市,520381,1852,14,5,9,3,,,,31,,31.03,,,147400,,51893,81114,16,33737,241000,18275,596582,93300,278343,225200,225000,37604,21046,24880,,19213,7381,40718,30222,170005,562441,515951,,,,,8000,162,16,117406,,796,16415,157800,38,522962,1000000,910200,175310,20.15,58,17,1330,1018,19047,14910,877,1312,1352,1226,19,1439,62023,13114,206,554,3676,6,644,19
2014,贵州省,遵义市,赤水市,520381,1852,14,5,9,3,,,,24,,31.01,,,140193,,35298,77095,16,40502,210000,30452,714500,118500,328570,264900,267400,49480,22107,29693,,21722,8350,49049,39223,193046,661860,698083,,,,,7500,139,16,138067,,868,16744,178295,45,619046,1361920,1181800,208531,23.69,56,17,1284,1099,19862,14734,2480,1863,1904,521,19,1608,52165,13800,417,973,2703,6,645,5
2015,贵州省,遵义市,赤水市,520381,1852,14,5,9,3,,,,24,,31.41,,,141272,,35203,78520,16,42048,,,841091,152635,366545,293800,321911,60688,46516,34828,,23938,9235,56540,87494,224198,725861,851160,,,,,7400,121,16,143684,,909,17113,152635,57,740166,1826500,1826500,234084,,36,17,1324,,20708,14490,3265,1971,,,16,1608,,,,,,,,
2016,贵州省,遵义市,赤水市,520381,1852,14,3,11,3,,,,24,,31.61,,,146892,,35620,78956,16,38761,,,961391,165129,416600,338600,379662,61359,51047,39547,,26100,10094,55903,42817,257685,830600,1016300,,,,,,121,16,148375,,921,15844,171017,75,920800,1221238,1221200,264656,,33,18,1311,,21710,9426,3287,1845,,,15,1688,,,,,,,,
2017,贵州省,遵义市,赤水市,520381,1852,14,3,11,3,,,,25,,31.71,,,146856,,39872,72319,18,28000,,,1105250,182700,483800,391300,438750,82229,52268,45214,,28606,11134,57991,45622,324849,949000,1175745,,,,,,120,18,,,740,,190511,78,,,,308324,,53,19,1373,,22266,9755,3515,2652,,,19,3432,,,,,,,,
2018,贵州省,遵义市,赤水市,520381,1852,14,3,11,3,,,,25,,31.832,,,143153,,38061,75625,,46185,,,1163607,187037,523658,412900,452912,,,47465,,31381,12303,63500,,304700,1064600,1396300,,,,,,375,,,,722,,195702,78,,,,,,45,19,1389,,22913,18395,,2823,,,19,1822,,,,,,,,
2019,贵州省,遵义市,赤水市,520381,1852,14,3,11,3,,,,25,,31.894,,,143085,,36352,71201,,39117,,,1005500,196500,370500,227300,438500,,,40858,,34425,13656,62200,,346400,1162700,1606600,,,,,,107,,,,884,,206712,63,,,,,,45,19,1415,,22576,19422,,2544,,,19,1822,,,,,,,,
